都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険の通常の指定基準を満たしている,障害福祉の通常の指定基準を満たしている,備考
011011,0170103964,北海道,札幌市中央区,イリーゼ宮の森居宅介護支援事業所,イリーゼミヤノモリキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市中央区宮の森2条10丁目1-43住宅型有料老人ホームイリーゼ宮の森,住宅型有料老人ホームイリーゼ宮の森,43.058184200000010,141.304629600000030,011-618-3051,011-618-3052,5013301023242,HITOWAケアサービス株式会社,0170103964,"平日,祝日",年末年始（12/30～1/3）はお休み,0,http://www.irs.jp,,,,
011011,0170104004,北海道,札幌市中央区,ケアプランセンタ－スリースマイル,ケアプランセンタ－スリースマイル,居宅介護支援,北海道札幌市中央区南8条西13丁目3-10M-STORAGE813-3F01,M-STORAGE813-3F01,43.049173838843040,141.338989628276400,080-4621-4459,011-211-4186,1430001067250,株式会社イーエムアイ・リンクジャパン,0170104004,平日,,0,,,,,
011011,0170104087,北海道,札幌市中央区,イリーゼ札幌南三条居宅介護支援事業所,イリーゼサッポロミナミサンジョウキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市中央区南3条西1丁目10イリーゼ札幌南三条,イリーゼ札幌南三条,43.057154800000000,141.357318099999930,011-231-2226,011-231-2227,5013301023242,ＨＩＴＯＷＡケアサービス株式会社,0170104087,"平日,祝日",年末年始（12/30～1/3）はお休み,80,http://www.hitowa.com/care-sevice/,,,,
011011,0170104673,北海道,札幌市中央区,ＳＯＭＰＯケア　札幌桑園駅前　居宅介護支援,ソンポケア　サッポロソウエンエキマエ　キョタクカイゴシエン,居宅介護支援,北海道札幌市中央区北11条西14目1番17号,,43.071808809251540,141.332144021520950,011－788－7490,011－788－6358,1260001015656,ＳＯＭＰＯケア株式会社,0170104673,平日,営業時間外においては、事業所代表番号より携帯電話へ転送となり対応致します。,176,https://www.sompocare.com,,,,
011011,0170105027,北海道,札幌市中央区,ケアプランセンターすまいる札幌伏見,ケアプランセンタースマイルサッポロフシミ,居宅介護支援,北海道札幌市中央区南24条西11丁目2-33ロードサイド24　408号,ロードサイド24　408号,43.027289099999980,141.344837800000000,080-4086-8658,011-206-7605,5430001054848,株式会社幸楽,0170105027,平日,12月30日～1月3日,1,,,,,
011011,0170105076,北海道,札幌市中央区,ツクイ・サンフォレスト札幌山鼻,ツクイサンフォレストサッポロヤマハナ,居宅介護支援,北海道札幌市中央区南１４条西１８丁目５－１,,43.040042371382334,141.329843773016400,011-522-0778,011-522-0779,1020001136162,株式会社ツクイ,0170105076,平日,,0,https://www.tsukui.net/home-care/7019/,,,,
011011,0170105159,北海道,札幌市中央区,静明館居宅介護支援事業所はれのひ,セイメイカンキョタクカイゴシエンジギョウショハレノヒ,居宅介護支援,札幌市中央区南14条西18丁目5番23号菱沼ビル1階,菱沼ビル1階,43.039372800000000,141.329115900000000,011-215-1875,011-688-5876,8430005003815,医療法人財団老蘇会,0170105159,平日,,0,www.seimeikan.or.jp,,,,
011011,0170105167,北海道,札幌市中央区,ケアプランセンターあまね,ケアプランセンターアマネ,居宅介護支援,札幌市中央区南11条西7丁目1番20号ドミ山鼻1階,ドミ山鼻1階,43.045618618510630,141.348844781614670,011-520-0777,011-520-0778,5430005011853,一般社団法人北海道社会福祉活動事務所,0170105167,平日,夜間及び休日は電話転送により緊急時の相談対応ができる体制をとっている。,150,https://www.homecarenet-sapporo.com/,,,,
011011,0170105498,北海道,札幌市中央区,ケアセンターカモミール,ケアセンターカモミール,居宅介護支援,南9条西8丁目1番２６号オリンピア南9条マンション903号,オリンピア南9条マンション903号,43.048263800000000,141.346366000000000,011-211-5460,011-211-5461,7430001088530,株式会社カモミール,0170105498,平日,上記の営業日、営業時間のほか、電話等により２４時間常時連絡が可能な体制とする。,0,https://care-chamomile.hp.peraichi.com/,,,,
011011,0170105605,北海道,札幌市中央区,ＳＯＭＰＯケア旭ヶ丘　居宅介護支援,ソンポケアアサヒガオカキョタクカイゴシエン,居宅介護支援,北海道札幌市中央区南14条西18丁目6番22号住宅型有料老人ホーム　ラヴィーレレジデンス旭ヶ丘,住宅型有料老人ホーム　ラヴィーレレジデンス旭ヶ丘,43.040012600000000,141.328674400000000,011-206-9577,011-533-3377,1260001015656,ＳＯＭＰＯケア株式会社,0170105605,"平日,土曜日,日曜日,祝日",,0,https://www.sompocare,,,,
011011,0170404529,北海道,札幌市中央区,けいら居宅介護支援事業所,ケイラキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市中央区南4条西15丁目3-5ホープビルディング3Ｆ,ホープビルディング3Ｆ,43.052934247884814,141.334557636051470,011-212-1864,011-212-1884,5430001070432,株式会社アプリシエイト,0170404529,"平日,祝日",事業所営業日は月曜日から木曜日。ただし、利用者の状況などによってそれ以外の日にちや時間帯においても実働することがあります。24時間連絡の取れる体制をとっております。,30,https://keira-kyotaku.jimdosite.com,,,,
011011,0170105597,北海道,札幌市中央区,アンビシャス居宅介護支援事業所,アンビシャスキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市中央区南6条西8丁目５,,43.052596000000000,141.346437700000000,011-206-4231,011-206-4232,1430001041858,株式会社アンビシャス,0170105597,"平日,祝日",,0,,,,,
011011,0170514079,北海道,札幌市中央区,居宅介護支援事業所　あさがお,キョタクカイゴシエンジギョウショ　アサガオ,居宅介護支援,北海道札幌市中央区南１条東１丁目２番1号太平洋興発ビル５階,太平洋興発ビル５階,43.060011100000010,141.358055500000000,011-215-7075,011-215-7085,5430001067503,株式会社きずな,0170514079,"平日,土曜日,日曜日,祝日",電話により、９時～１８時の間は常時連絡が可能な体制をとっています。,0,,,,,
011011,0170512115,北海道,札幌市中央区,ケアプランセンターALLURE,ケアプランセンター　アリュール,居宅介護支援,北海道札幌市中央区南4条西10丁目1010－3サンシャイン・シティー21,サンシャイン・シティー21,43.053950105919235,141.341170711175720,011-215－1932,011-215－1849,4430001069467,株式会社NEXT　INNOVATION,0170512115,"平日,祝日",,201,https://www.ni-allure.co.jp/careplan,,,,
011011,0170510010,北海道,札幌市中央区,まごころケアサービス,マゴコロケアサービス,居宅介護支援,札幌市中央区南６条東１丁目７番地シルキーU６・１　601号,シルキーU６・１　601号,43.054982000000000,141.359278700000000,011-206-8664,011-206-8665,3430001060765,株式会社まごころケアサービス,0170510010,平日,,105,http://hp.kaipoke.biz/7d0/index.html,,,,
011011,0170105118,北海道,札幌市中央区,ケアプランセンターわかば,ケアプランセンターワカバ,居宅介護支援,北海道札幌市中央区北３条西２１丁目2-5-902ダイアパレス円山領事館通,ダイアパレス円山領事館通,43.061644499999990,141.323693500000000,090-9975-9839,011-557-9839,2430001082793,株式会社若葉,0170105118,平日,平日以外の相談は時間外として算定,,http://hp.kaipoke.biz/scp/148373/base_0001.html,,,,
011011,0170104632,北海道,札幌市中央区,やまね社会福祉士事務所,ヤマネシャカイフクシシジムショ,居宅介護支援,宮ヶ丘3丁目2-26,,43.057388700000000,141.309656000000020,011-556-9035,011-312-9444,6430003009312,合同会社TTB,0170104632,平日,,0,"https://www,ttb-yamane.com",,,,
011011,0170103584,北海道,札幌市中央区,あすなろ居宅介護支援事業所,アスナロキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市中央区南１５条西８丁目２－３３－１０２,,43.039636019253130,141.347809873536450,011-211-6505,011-211-5997,9430003006414,合同会社Ｌａｕｌｅａ,0170103584,平日,休業日は２４時間電話対応。,0,,,,,
011011,0170104012,北海道,札幌市中央区,ケアプラン創優,ケアプランソウユウ,居宅介護支援,北海道札幌市中央区南1条西20丁目2-1建設管理センタービル6階,建設管理センタービル6階,43.056046063705630,141.327194108076440,011-215-4424,011-215-4437,9430001035539,株式会社ハートアンドケー,0170104012,平日,,105,http://hgsh.jp/,,,,
011011,0170103857,北海道,札幌市中央区,イリーゼ札幌中島公園居宅介護支援事業所,イリーゼサッポロナカジマコウエンキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市中央区南8条西6-420-15イリーゼ札幌中島公園,イリーゼ札幌中島公園,43.049525932268230,141.351421475602360,011-532-0071,011-532-0072,5013301023242,HITOWAケアサービス株式会社,0170103857,"平日,祝日",年末年始（12/30～1/3）はお休み,0,http://www.irs.jp,,,,
011011,0170104996,北海道,札幌市中央区,みかんケアプランセンター,ミカンケアプランセンター,居宅介護支援,札幌市中央区南27条西8丁目1-27101,101,43.024351700000000,141.349874400000000,011-577-0160,011-351-2300,6430002001757,有限会社　ウィル,0170104996,平日,,,https://mikanito.jimdoweb.com/,,,,
011011,0170105241,北海道,札幌市中央区,オイデナプランニング,オイデナプランニング,居宅介護支援,北海道札幌市中央区南7条西9丁目1024-42札幌舘ビル2階,札幌舘ビル2階,43.051522700000000,141.346013700000000,011-596-8412,011-596-8422,1430001084840,株式会社ムードメーカー,0170105241,平日,,0,https://mood-maker.com/23527.html#contents,,,,
011011,0170105472,北海道,札幌市中央区,居宅介護支援事業所　こころね,キョタクカイゴシエンジギョウショ　ココロネ,居宅介護支援,北海道札幌市中央区北2条西17丁目1番12号サービス付き高齢者向け住宅　カーサ・パティオ内,サービス付き高齢者向け住宅　カーサ・パティオ内,43.061001700000000,141.330084400000000,011-643-5560,011-643-5561,6430001058410,株式会社ハーネス,0170105472,平日,,0,https://www.ha-ness.com/,,,,
011011,0170506398,北海道,札幌市中央区,さっぽろ社会福祉士事務所,サッポロシャカイフクシシジムショ,居宅介護支援,北海道札幌市中央区南6条西11丁目1285-1共済ハウス2階,共済ハウス2階,43.051892182720120,141.340897461208210,011-520-2771,011-520-2777,8430003002249,合同会社さっぽろ社会福祉活動事務所,0170506398,平日,,350,http://www.sapporo-fukushi.net/,,,,
011011,0170406235,北海道,札幌市中央区,ライフマップレラ,ライフマップレラ,居宅介護支援,北海道札幌市中央区北5条西10丁目6番地1ライフシップ植物園前1階,ライフシップ植物園前1階,43.065686799999990,141.339806400000000,090-2911-5914,011-211-4350,7430001075685,サクシード株式会社,0170406235,"平日,祝日",12/31～1/3までは定休日とする,0,https://lifedesign-gr.jp,,,,
011029,0170207245,北海道,札幌市北区,株式会社　やさしい手札幌北　麻生居宅介護支援事業所,カブシキカイシャ　ヤサシイテサッポロキタ　アサブキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市北区麻生町3丁目2-4第5山重ビル1階,第5山重ビル1階,43.109975600000000,141.342310499999940,011-792-6336,011738-6313,,株式会社　やさしい手札幌北,0170207245,平日,なし,,,,,,
011029,0170207112,北海道,札幌市北区,居宅介護支援事業所たんぽぽ,キョタクカイゴシエンジギョウショタンポポ,居宅介護支援,北海道札幌市北区あいの里1条6丁目1番2号拓北・あいの里福祉センター,拓北・あいの里福祉センター,43.165820900000010,141.396360700000060,011-770-5053,011-770-5058,5430005000633,社会福祉法人札幌協働福祉会,0170207112,平日,緊急性のある場合は適宜対応する。,0,-,,,,
011029,0170204044,北海道,札幌市北区,ふきのとう,フキノトウ,居宅介護支援,札幌市北区篠路９条１丁目４－５,,43.155975517071810,141.352982416366530,011-790-6781,011-790-6782,,株式会社華甲,0170204044,平日,時間外でも、定休日でも、連絡をとれるようにしています。必要時には、出かけていきます。,70,,,,,
011029,0170201818,北海道,札幌市北区,るいケア指定居宅介護支援センター,ルイケアシテイキョタクカイゴシエンセンター,居宅介護支援,北海道札幌市北区北25条西8丁目2－3,,43.090955699999990,141.337301100000000,011-757-9255,011-716-1881,5430005003990,医療法人社団眞明会今医院,0170201818,平日,なし,0,,,,,
011029,0170203715,北海道,札幌市北区,居宅介護支援事業所たんぽぽ,キョタクカイゴシエンジギョウショタンポポ,居宅介護支援,北海道札幌市北区新川西１条６丁目３番１６号,,43.129257400000000,141.272815700000020,011-807-8802,011-807-8802,1430003001703,合同会社たんぽぽ,0170203715,平日,,0,,,,,
011029,0170206635,北海道,札幌市北区,医療法人社団誠仁会　ケアプランセンター北大通り,イリョウホウジンシャダンセイジンカイ　ケアプランセンターホクダイドオリ,居宅介護支援,北海道札幌市北区北23条西4丁目2-23プレイス24プレイス24,プレイス24,43.089915300000010,141.343413599999960,011-768-7335,011‐738-8225,3430005008281,医療法人社団誠仁会,0170206635,"平日,祝日",,0,http://seijinkai-n.com/,,,,
011029,0170207997,北海道,札幌市北区,イリーゼ札幌屯田居宅介護支援事業所,イリーゼサッポロトンデンキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市北区屯田2条1丁目9-1,,43.121529400000000,141.343354099999940,011-756-6511,011-756-6512,5013301023242,ＨＩＴＯＷＡケアサービス株式会社,0170207997,"平日,祝日",年末年始（12/30～1/3）はお休み,0,http://www.irs.jp,,,,
011029,0170405872,北海道,札幌市北区,ケアプランセンター結まーる,ケアプランセンターユイマール,居宅介護支援,新川西1条3丁目8-21,,43.123565971845030,141.280281438932430,011-788-9108,011-788-9065,9430003013294,合同会社結家,0170405872,平日,,44,http://www.yuimaarust.jp/,,,,
011029,0170209035,北海道,札幌市北区,ケアプランセンターせるん,ケアプランセンターセルン,居宅介護支援,北海道札幌市北区あいの里1条6丁目2-1,,43.156056000000000,141.400180500000000,011-769-0178,011-792-9761,7430003003859,リアン・シュクレ合同会社,0170209035,平日,,,,,,,
011029,0150280055,北海道,札幌市北区,指定居宅介護支援事業所セージュ新ことに,シテイキョタクカイゴシエンジギョウショ　セージュシンコトニ,居宅介護支援,北海道札幌市北区新琴似町７８７－２介護老人保健施設施設セージュ新ことに内,介護老人保健施設施設セージュ新ことに内,43.130833747291140,141.295615624467470,011-766-7772,011-766-7773,2430005001452,医療法人　耕仁会,0150280055,平日,,238,https://www.sapporo-ohta.or.jp/kyotaku/,,,,
011029,0150280139,北海道,札幌市北区,サンビオーズ介護サービスセンター,サンビオーズカイゴサービスセンター,居宅介護支援,北海道札幌市北区新琴似2条5丁目1-1,,43.106539300000000,141.320868199999950,011-763-9300,011-763-9301,9050005006021,医療法人晴生会,0150280139,平日,,0,http://www.aoikai.jp/symbiose/,,,,
011029,0170200026,北海道,札幌市北区,茨戸介護相談センター,バラトカイゴソウダンセンター,居宅介護支援,札幌市北区東茨戸2条2丁目8番21号,,43.164291100000010,141.357580999999980,011-775-4165,011-775-5880,3430005000627,社会福祉法人札幌恵友会,0170200026,平日,なし,0,https://www.keiyu-kai/org,,,,
011029,0170200125,北海道,札幌市北区,オニオンコート指定居宅介護支援事業所,オニオンコートシテイキョタクカイゴシエンジギョウショ,居宅介護支援,札幌市北区百合が原11丁目185－13,,43.132253500000000,141.366862600000000,011-774-3741,011-774-3377,7430005000615,社会福祉法人百合の会,0170200125,平日,,0,http://onion.or.jp,,,,
011029,0170200224,北海道,札幌市北区,グリーンピア篠路居宅介護支援事業所,グリーンピアシノロキョタクカイゴシエンジギョウショ,居宅介護支援,札幌市北区篠路２条９丁目１番８０号,,43.141399700000000,141.369092400000000,011-770-2121,011-770-6262,6430005000541,社会福祉法人エムアール会,0170200224,"平日,祝日",特になし,0,http://www1.odn.ne.jp/green-pia/,,,,
011029,0170200521,北海道,札幌市北区,居宅介護支援事業所　禎心会北,キョタクカイゴシエンジギョウショ　テイシンカイキタ,居宅介護支援,札幌市北区新川１条６丁目３番３号,,43.100084100000000,141.310739099999980,011-768-6110,011-768-6500,5430005001508,社会医療法人禎心会,0170200521,"平日,土曜日",,0,http://www.teishinkai.jp/kita/,,,,
011029,0170200851,北海道,札幌市北区,いこいケアセンター指定居宅介護支援事業所,イコイケアセンターシテイキョタクカイゴシエンジギョウショ,居宅介護支援,札幌市北区篠路3条8丁目8番7号,,43.143777200000000,141.369383900000000,011-775-7370,011-775-7371,7430002035110,有限会社優愛,0170200851,平日,なし,0,,,,,
011029,0170202337,北海道,札幌市北区,居宅介護支援事業所ら・ぱーす,キョタクカイゴシエンジギョウショラ・パース,居宅介護支援,北海道札幌市北区篠路町上篠路６番２８６,,43.130332100000000,141.382314100000030,011-774-7766,011-774-1818,5430005001508,社会医療法人禎心会,0170202337,"平日,土曜日",,0,http://www.teishinkai.jp,,,,
011029,0170202949,北海道,札幌市北区,ライブリーケア中銀あいの里,ライブリーケアナカギンアイノサト,居宅介護支援,札幌市北区あいの里２条６丁目３,,43.158905200000000,141.402804999999940,011-778-6880,011-778-6882,4010001050130,中銀インテグレーション株式会社,0170202949,平日,連絡体制：営業時間内はライブリーケア中銀あいの里で対応すると共に土日祝日及び営業時間外（午後５時３０分から午前８時３０分まで）は携帯電話による24時間常時連絡可能な体制とする。,140,https://nakagin-sapporo.com/livelycare/,,,,
011029,0170204309,北海道,札幌市北区,ケアプランセンター　菜のはな,ケアプランセンター　ナノハナ,居宅介護支援,北海道札幌市北区篠路３条７丁目１－４５堀尾ビル103,堀尾ビル103,43.143429262357350,141.364145931243940,011-774-6000,011-774-6100,7430001042248,株式会社　はなシンフォニー,0170204309,平日,,0,https://sites.google.com/view/hana-symphony/,,,,
011029,0170204721,北海道,札幌市北区,トーアいこいの杜介護相談センター,トーアイコイノモリカイゴソウダンセンター,居宅介護支援,札幌市北区北31条西4丁目3番18号,,43.098377835975860,141.341540942605630,011-708-0151,011-708-0155,3430001045576,株式会社トーアいこいの杜,0170204721,"平日,祝日",なし,0,http://www.ikoi-mori.com/,,,,
011029,0170204754,北海道,札幌市北区,さっぽろ居宅介護支援事業所,サッポロキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市北区屯田８条９丁目３－７ヴェラス・クオーレ札幌北　１Ｆ,ヴェラス・クオーレ札幌北　１Ｆ,43.141941993292754,141.323885506282750,011-776-1188,011-776-1189,1430001058778,株式会社　メディカル札幌,0170204754,"平日,祝日",なし,0,,,,,
011029,0170205413,北海道,札幌市北区,社会医療法人社団愛心館　相談センター「レイル」,シャカイイリョウホウジンシャダンアイシンカン,居宅介護支援,北海道札幌市北区あいの里2条1丁目20-1,,43.159531900000000,141.385192700000060,011-788-3302,011-776-3072,8430005001620,社会医療法人社団愛心館,0170205413,平日,電話により24時間の連絡体制をとる,0,http://www.aishinkan.jp,,,,
011029,0170205603,北海道,札幌市北区,ケアプランセンター「はじめ」,ケアプランセンター「ハジメ」,居宅介護支援,北海道札幌市北区北18条西3丁目2-26コノエビル702,コノエビル702,43.082975441417204,141.346963208452680,011-213-9511,,5430001032770,株式会社アシストリーブ,0170205603,平日,営業時間外は、電話等により連絡が可能な体制となっております。,10,,,,,
011029,0170205728,北海道,札幌市北区,社会福祉法人　札幌市社会福祉協議会　北相談センター,シャカイフクシホウジン　サッポロシシャカイフクシキョウギカイ　キタソウダンセンター,居宅介護支援,北海道札幌市北区北４０条西４丁目2-7札幌Ｎ40ビル　５階,札幌Ｎ40ビル　５階,43.108105475041620,141.338819253164730,011-717-3294,011-788-3294,2430005000636,社会福祉法人札幌市社会福祉協議会,0170205728,"平日,土曜日",,,http://www.sapporo-shakyo.or.jp/,,,,
011029,0170205835,北海道,札幌市北区,居宅介護支援事業所ら・せれな,キョタクカイゴシエンジギョウショラ・セレナ,居宅介護支援,北海道札幌市北区百合が原3丁目１－１,,43.125083699999990,141.355212000000020,011-702-6110,011-702-1278,3430005000668,社会福祉法人禎心会,0170205835,"平日,土曜日,祝日",,200,http://www.sw-teishinkai.jp/,,,,
011029,0170206825,北海道,札幌市北区,ケアプランセンター幸寿,ケアプランセンターコウジュ,居宅介護支援,北海道札幌市北区新琴似8条13丁目3番11号,,43.122796528306750,141.314217659140800,011-769-1510,011-788-9986,9430001066088,株式会社幸寿,0170206825,平日,特になし,440,https://www.kouju.info/,,,,
011029,0170207096,北海道,札幌市北区,イリーゼ新琴似居宅介護支援事業所,イリーゼシンコトニキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市北区新琴似４条1丁目1-45,,43.105309299999990,141.330436900000000,011-707-5030,011-707-5031,5013301023242,HITOWAケアサービス株式会社,0170207096,"平日,祝日",,0,http://www.irs.jp/,,,,
011029,0170207237,北海道,札幌市北区,ケアプランセンター七色の風,ケアプランセンターナナイロノカゼ,居宅介護支援,北海道札幌市北区屯田9条9丁目5-15,,43.143817700000000,141.324450999999950,011-769-0374,011-775-7162,5430005005806,社会福祉法人パートナー,0170207237,"平日,土曜日",,211,https://partner.or.jp,,,,
011029,0170207286,北海道,札幌市北区,いろは介護相談センター,イロハカイゴソウダンセンター,居宅介護支援,北海道札幌市北区新琴似６条１４丁目８－１うけなビル３０１号,うけなビル３０１号,43.120292600000010,141.311070800000040,011-303-2525,011-303-2626,6430001069119,株式会社ケイ・ユウ,0170207286,平日,,0,,,,,
011029,0170207518,北海道,札幌市北区,北海道医療大学居宅介護支援事業所,ホッカイドウイリョウダイガクキョタクカイゴシエンジギョウショ,居宅介護支援,北海道札幌市北区あいの里2条6丁目2番1号北海道医療大学地域包括ケアセンター内,北海道医療大学地域包括ケアセンター内,43.159495470883840,141.399787415869130,011-788-2868,011-788-2650,8430005005729,学校法人東日本学園,0170207518,平日,,0,http://www.hoku-iryo-u.ac.jp/~carecenter/,,,,
