No,エリア,都内1事業所,全国1事業所,法人種別,都内事業所数,全国事業所数,事業所タイプ(推定),法人番号,法人名,代表者名,管理者名,事業所名,事業所番号,事業所所在地,電話番号,電話番号(整形),FAX,ホームページ,利用可能曜日,指定年月日,記録者,架電状況,架電日,架電回数,対応者,見込み度,次回アクション,次回架電予定日,希望時間帯,通話メモ,備考
39,世田谷区,○,○,営利法人,1,1,独立系,4010903003375,合同会社EachCare世田谷,,,EachCare世田谷,1371214212,東京都世田谷区若林4-17-3,03-6805-5471,03-6805-5471,03-6805-5472,https://each-care4173.wixsite.com/mysite,平日,,,,,,,,,,,,
40,世田谷区,○,○,営利法人,1,1,独立系,1010903001778,合同会社　菜の花,,,菜の花ケアプラン,1371210566,東京都世田谷区船橋1-23-18コーポ福寿101,03-5450-7313,03-5450-7313,03-5450-7317,,平日,,,,,,,,,,,,
41,世田谷区,○,○,営利法人,1,1,独立系,8010903004601,合同会社まなび,,,まなびケアプラン,1371215433,東京都世田谷区三軒茶屋2-41-3スカイプラザヨコミゾ301,03-5787-6451,03-5787-6451,03-5787-6452,,"平日,土曜日",,,,,,,,,,,,
42,世田谷区,○,○,営利法人,1,1,独立系,4010903006980,合同会社アクシブ,,,ケアプラン九品仏,1371216621,東京都世田谷区奥沢7-18-1ハドル自由ヶ丘401,03-5760-6245,03-5760-6245,03-5760-6246,http://axv.co.jp,平日,,,,,,,,,,,,
43,世田谷区,○,○,営利法人,1,1,独立系,5010903001510,合同会社オリーブ・ケア,,,オリーブ・ケア千歳台,1371209121,東京都世田谷区千歳台3-28-4101,03-3482-8421,03-3482-8421,03-3482-8422,http://hp.kaipoke.biz/81h/index.html,平日,,,,,,,,,,,,
44,世田谷区,○,○,営利法人,1,1,独立系,4010903002492,合同会社クウの翼,,,クウの翼介護サービス,1371212661,東京都世田谷区等々力4-4-1喜島ビル1F,03-6805-9251,03-6805-9251,03-6805-9925,http://www.kuunotsubasa.jp,平日,,,,,,,,,,,,
45,世田谷区,○,○,営利法人,1,1,独立系,3010903009695,合同会社ケアプランよし,,,ケアプランよし,1371217678,東京都世田谷区経堂2丁目17番16号メゾン・ド・シルフ206,03-6780-6717,03-6780-6717,03-6780-6787,https://careplan-yoshi.com,平日,,,,,,,,,,,,
46,世田谷区,○,○,営利法人,1,1,独立系,8010903005475,合同会社シンシア,,,介護サービスシンシア桜新町,1371215987,東京都世田谷区桜新町1-6-8ラフォーレ桜新町2番館101,03(3705)0078,03-3705-0078,03(5760)6880,,平日,,,,,,,,,,,,
47,世田谷区,○,○,営利法人,1,1,独立系,9010903003858,合同会社マウ計画,,,ケアプランマウ,1371214766,東京都世田谷区給田3-7-16,03-6909-1264,03-6909-1264,03-6909-1265,,平日,,,,,,,,,,,,
48,世田谷区,○,○,営利法人,1,1,独立系,6012403004711,合同会社ライフケア経堂,,,ライフケア経堂,1371216373,東京都世田谷区宮坂3-19-2203,03-6804-4460,03-6804-4460,03-6804-4461,https://sites.google.com/view/lifecarekyoudo-setagaya,平日,,,,,,,,,,,,
49,世田谷区,○,○,営利法人,1,1,独立系,1010903002297,合同会社上寿,,,ライフサポートことり,1371212273,東京都世田谷区経堂2-30-12カーサ・デ・トリエーヌ205,03-5799-6586,03-5799-6586,03-5799-6589,,"平日,土曜日",,,,,,,,,,,,
50,世田谷区,○,○,営利法人,1,1,独立系,1012403003809,合同会社会社あいメッセージ,,,あいメッセージ成城,1371215581,東京都世田谷区成城2-34-2村上ハイツ201,03-6411-2980,03-6411-2980,03-6411-4187,http://hp.kaipoke.biz/6f5/130448/base_0001.html,平日,,,,,,,,,,,,
51,世田谷区,○,○,営利法人,1,1,独立系,4010903001445,合同会社大鉾,,,ほこほこ計画,1371208909,東京都世田谷区祖師谷2-9-2ヴェルドミール福田102号室,03-6411-9422,03-6411-9422,03-5490-5155,,平日,,,,,,,,,,,,
52,世田谷区,○,○,営利法人,1,1,独立系,2010903001884,合同会社東郷館,,,けあぷらん世田谷,1371210939,東京都世田谷区経堂２－６－１アームス経堂３０５,０３－６４１３－５５８８,03-6413-5588,０３－６４１３－５００４,,平日,,,,,,,,,,,,
53,世田谷区,○,○,営利法人,1,1,独立系,9010903001572,合同会社母の手,,,母の手ケア,1371211341,東京都世田谷区上馬　5-6-9,03-3411-7707,03-3411-7707,03-3411-7707,,"平日,土曜日",,,,,,,,,,,,
54,世田谷区,○,○,営利法人,1,1,独立系,6010903009214,合同会社ＫＲカンパニー,,,ケアプランしま,1371217421,東京都世田谷区玉堤1‐11‐10211,080‐3546‐1722,080-3546-1722,03‐6432‐3624,,平日,,,,,,,,,,,,
55,世田谷区,○,○,営利法人,1,1,独立系,5010903005362,合同会社Ｒｏｎ,,,ケアプランたかぽん,1371215888,東京都世田谷区世田谷１丁目4-9ウインコーポ世田谷101,03-6413-1456,03-6413-1456,03-6413-1457,https://rontakapon2020.chillout.jp/,平日,,,,,,,,,,,,
56,世田谷区,○,○,営利法人,1,1,独立系,5010903008588,合同会社ｍｉｎｋｉ,,,ケアプラン下馬,1371217157,東京都世田谷区下馬3-15-9,03-6786-0899,03-6786-0899,03-5539-0414,,平日,,,,,,,,,,,,
57,世田谷区,○,○,営利法人,1,1,独立系,1010903003287,合同会社ｓｍｉｌｅカンパニー,,,ケアプラン　すみれ,1371214006,東京都世田谷区新町３－１０－１０デザインコート桜新町１０2,080-7113-3732,080-7113-3732,03-3429-6269,,平日,,,,,,,,,,,,
58,世田谷区,○,○,営利法人,1,1,独立系,8011003001134,山口ケアサービス合資会社,,,山口ケアサービス,1371501709,東京都世田谷区松原2-28-181階,03-5355-4044,03-5355-4044,03-5355-4045,,"平日,土曜日",,,,,,,,,,,,
59,世田谷区,○,○,営利法人,1,1,独立系,4010902017954,有限会社　ハル・サポート,,,介護の八木,1371202621,東京都世田谷区桜新町2-26-14102,03-6413-6595,03-6413-6595,03-6413-6569,http://www.hal-jp.com,平日,,,,,,,,,,,,
60,世田谷区,○,○,営利法人,1,1,独立系,4010902019447,有限会社　ピュアライフ,,,もみの木ケアセンター,1371203264,東京都世田谷区三宿2－28-21,03-3424-6055,03-3424-6055,03-3424-6077,http://mominoki-kaigo.jp/,平日,,,,,,,,,,,,
61,世田谷区,○,○,営利法人,1,1,独立系,5010902017945,有限会社おひさま,,,有限会社　おひさま,1371202472,東京都世田谷区深沢5-28-3,03-5758-7077,03-5758-7077,03-5758-7076,https://ohisama-kaigo.jimdofree.com/,平日,,,,,,,,,,,,
62,世田谷区,○,○,営利法人,1,1,独立系,7010902021730,有限会社てらーる,,,さわやか介護センター,1371204619,東京都世田谷区八幡山3-10-14てらーるはうす101,03-3329-6683,03-3329-6683,03-3329-6803,https://sawayaka-kaigo.net/,平日,,,,,,,,,,,,
63,世田谷区,○,○,営利法人,1,1,独立系,2010902003972,有限会社ガスコン,,,ＨＡＰＰＹ　ＬＩＦＥ　ＰＬＡＮ,1371214915,東京都世田谷区宮坂３－３３－３,03-6413-0637,03-6413-0637,03-6413-0647,,平日,,,,,,,,,,,,
64,世田谷区,○,○,営利法人,1,1,独立系,5010902023290,有限会社ケアステーションたね,,,ケアステーションたね,1371205467,東京都世田谷区赤堤５－３２－４共栄荘１０１,03-5355-3455,03-5355-3455,03-6379-2206,http://www.care-tane.co.jp/,平日,,,,,,,,,,,,
68,世田谷区,○,○,営利法人,1,1,独立系,3010902021296,有限会社タウンライフケア,,,タウンライフケア桜上水,1371204346,東京都世田谷区桜上水1-20-12シャトレ経堂202号,03-5316-5625,03-5316-5625,03-5316-5626,https://townlife-care.co.jp,平日,,,,,,,,,,,,
69,世田谷区,○,○,営利法人,1,1,独立系,7010902013744,有限会社ヘルパーサービス和知,,,ケアサービス和知,1371200542,東京都世田谷区代沢5丁目7番3号,03-3411-3108,03-3411-3108,03-3411-4674,https://wachi-helper.co.jp,平日,,,,,,,,,,,,
70,世田谷区,○,○,営利法人,1,1,独立系,5010902014100,有限会社マイム,,,在宅ケアサービスもえぎ,1371204114,東京都世田谷区駒沢2-53-12,03-3424-6621,03-3424-6621,03-3424-5207,,"平日,土曜日",,,,,,,,,,,,
71,世田谷区,○,○,営利法人,1,1,独立系,1010902020110,有限会社幸せ在宅計画社,,,お天気介護サービス,1371203595,東京都世田谷区宮坂2-26-26宮坂ハイム501号,03-5450-7270,03-5450-7270,03-5450-6280,http://park7.wakwak.com/~otenki/,平日,,,,,,,,,,,,
72,世田谷区,○,○,営利法人,1,1,独立系,3010902008896,有限会社玉川ケアサービス,,,有限会社玉川ケアサービス,1371200872,東京都世田谷区玉川台1-13-14用賀武井ビル301・302号,03-3709-6776,03-3709-6776,03-6431-0551,http://www.tamakea.com/,平日,,,,,,,,,,,,
76,世田谷区,○,○,営利法人,1,1,独立系,3010901022824,株式会社SORA,,,居宅介護支援事業部SORA,1371208842,東京都世田谷区駒沢３丁目２８番11号アーバン駒沢1F,03-6413-5727,03-6413-5727,03-6413-5728,http://sora-care.com,"平日,祝日",,,,,,,,,,,,
81,世田谷区,○,○,営利法人,1,1,独立系,4012401018252,株式会社　クリスタルカンパニー,,,チームケアめぐみ,1371207976,東京都世田谷区喜多見３－１４－１１さがらコーポ１０２号室,03-5727-0738,03-5727-0738,03-5727-0706,http://www.megumi-care.net,平日,,,,,,,,,,,,
83,世田谷区,○,○,営利法人,1,1,独立系,4010901017534,株式会社　タンドル,,,タンドル南烏山,1371206614,東京都世田谷区南烏山6-4-21ＳＪＫビル2Ｆ,03-5314-1206,03-5314-1206,03-5314-1243,,"平日,祝日",,,,,,,,,,,,
86,世田谷区,○,○,営利法人,1,1,独立系,6010901023885,株式会社　ラ・フルール,,,ラ・フルール,1371207869,東京都世田谷区南烏山5-21-12メゾンＶＩＥ103,03-3300-2899,03-3300-2899,03-5313-9093,,"平日,祝日",,,,,,,,,,,,
87,世田谷区,○,○,営利法人,1,1,独立系,3010901020976,株式会社　春企画,,,ケアセンター春の風,1371207018,東京都世田谷区上北沢４ー１６ー７上北沢グリーンコーポ205号,03-6423-7192,03-6423-7192,03-6423-7193,,平日,,,,,,,,,,,,
88,世田谷区,○,○,営利法人,1,1,独立系,6010901009513,株式会社　野沢トータルケア,,,株式会社　野沢トータルケア　居宅介護支援事業所,1371200690,東京都世田谷区野沢２－２４－２,03-3422-6450,03-3422-6450,03-3424-4503,http://nozawatotalcare.jp/,平日,,,,,,,,,,,,
89,世田谷区,○,○,営利法人,1,1,独立系,6010901045194,株式会社　鳥人会,,,ケアプランつぐみ,1371216829,東京都世田谷区中町1-17-14メゾンブランシュ109,03-6432-2723,03-6432-2723,03-6432-2724,,平日,,,,,,,,,,,,
92,世田谷区,○,○,営利法人,1,1,独立系,8010901040490,株式会社くじプランニング,,,あや介護計画,1371214691,東京都世田谷区北沢2-19-2月村光ビル405,03-6450-9731,03-6450-9731,03-6450-9732,,"平日,土曜日",,,,,,,,,,,,
95,世田谷区,○,○,営利法人,1,1,独立系,8010901025566,株式会社はなケア,,,株式会社はなケア用賀ケアセンター,1371208313,東京都世田谷区用賀4-33-17,03-6411-7591,03-6411-7591,03-6411-7594,http://hanacare.co.jp,平日,,,,,,,,,,,,
96,世田谷区,○,○,営利法人,1,1,独立系,2020001096208,株式会社まいくるケア,,,Tenonからすやま,1371216969,東京都世田谷区南烏山6-38-10ピュアエリート304,03-5314-5539,03-5314-5539,03-6279-5656,https://tenon-crosslife.co.jp,平日,,,,,,,,,,,,
102,世田谷区,○,○,営利法人,1,1,独立系,7020001059358,株式会社ウェリナ,,,ケアプランセンターみなみ,1371210228,東京都世田谷区下馬6-12-15ロータリー学芸大学三宝第７ビル　2Ｆ,03-6303-1303,03-6303-1303,03-6303-1305,http://www.minami-tyo-welina.com,平日,,,,,,,,,,,,
103,世田谷区,○,○,営利法人,1,1,医療機関併設,9010401063818,株式会社エルタナ,,,山手クリニック　ケアプランセンター,1371215664,東京都世田谷区代沢2-28-11,03-5431-5230,03-5431-5230,03-5431-5229,,"平日,土曜日",,,,,,,,,,,,
104,世田谷区,○,○,営利法人,1,1,独立系,8013201017325,株式会社カルミア,,,ケアプラン栞,1371209030,東京都世田谷区中町3-6-12,03-6411-6527,03-6411-6527,03-3704-2711,,平日,,,,,,,,,,,,
105,世田谷区,○,○,営利法人,1,1,独立系,4010901020496,株式会社グッドパートナーズ,,,グッド玉川居宅,1371215607,東京都世田谷区玉川４－７－４ホームズ二子玉川１０１号,03-6431-0075,03-6431-0075,03-6432-7568,https://www.good-partners.jp/,平日,,,,,,,,,,,,
110,世田谷区,○,○,営利法人,1,1,独立系,8010901018207,株式会社ケアプラン駒沢,,,ケアプラン駒沢,1371203603,東京都世田谷区上馬3-4-11-1F,03-3413-5038,03-3413-5038,03-3413-5039,,平日,,,,,,,,,,,,
113,世田谷区,○,○,営利法人,1,1,独立系,3010901021801,株式会社ケイオー医療サービス,,,ケイオー医療介護ケアセンター,1371202936,東京都世田谷区南烏山5-34-183Ｆ,03-3305-5025,03-3305-5025,03-3309-0200,,平日,,,,,,,,,,,,
114,世田谷区,○,○,営利法人,1,1,独立系,6010901034932,株式会社コクーン,,,水車の家　ケアマネジメント,1371213313,東京都世田谷区桜新町二丁目26番14号,03-6413-6595,03-6413-6595,03-6413-6569,,"平日,祝日",,,,,,,,,,,,
115,世田谷区,○,○,営利法人,1,1,独立系,7010901020808,株式会社コスモ・ケア・サポート,,,コスモ・ケア・サポート,1371217108,東京都世田谷区奥沢4-24-6　コンドミニアム自由が丘101コンドミニアム自由が丘101,03-6413-8847,03-6413-8847,03-6421-9971,,"平日,祝日",,,,,,,,,,,,
116,世田谷区,○,○,営利法人,1,1,独立系,2010901035174,株式会社コマツプランニング,,,ケアサービス　ダイヤモンド,1371212778,東京都世田谷区上祖師谷５－３１－１１１階,０３－６２７９－６５０７,03-6279-6507,０３－６２７９－６５０８,,"平日,祝日",,,,,,,,,,,,
117,世田谷区,○,○,営利法人,1,1,独立系,4020001086025,株式会社サロンデイ,,,薬クリエイトの介護支援センター給田,1371212497,東京都世田谷区給田３－２６－６２階,03-5314-3020,03-5314-3020,03-5314-3021,,"平日,祝日",,,,,,,,,,,,
118,世田谷区,○,○,営利法人,1,1,独立系,4010901028952,株式会社シード,,,シード居宅介護支援事業所,1371209907,東京都世田谷区用賀3-15-18シャンティメゾン101,03-5491-4351,03-5491-4351,03-5491-4352,,平日,,,,,,,,,,,,
121,世田谷区,○,○,営利法人,1,1,独立系,1010901030548,株式会社スマイル・ケア,,,居宅介護支援事業所　スマイル・ケア,1371215599,東京都世田谷区三軒茶屋1-5-9メゾンSAKAEアベニュー三軒茶屋303,03-6413-8810,03-6413-8810,03-5432-9109,https://smilecare-kaigo.com/?page_id=21,平日,,,,,,,,,,,,
128,世田谷区,○,○,営利法人,1,1,独立系,6010901033356,株式会社ヘルシコ,,,ぺんぎん介護,1371211986,東京都世田谷区宮坂2-15-4鈴木ビル2A,03-6804-4286,03-6804-4286,03-6804-4287,,平日,,,,,,,,,,,,
132,世田谷区,○,○,営利法人,1,1,独立系,6010901011048,株式会社ホットジョブ,,,ホットジョブ　さくら・ぷらんにんぐ,1371301076,東京都世田谷区北沢1-23-12マウントビル2階,03-5452-1839,03-5452-1839,03-3469-0773,http://www.hotjob.jp/sakura/,"平日,土曜日",,,,,,,,,,,,
135,世田谷区,○,○,営利法人,1,1,独立系,2010901024359,株式会社ライフタイムメディ,,,グリーンメディケアプランセンター,1371217660,東京都世田谷区松原2-42-9美鈴Ｎﾋﾞﾙ402,03-6770-5338,03-6770-5338,03-6770-5339,https://gc-lifetime.co.jp/,平日,,,,,,,,,,,,
136,世田谷区,○,○,営利法人,1,1,独立系,4010901030958,株式会社ライフデザイン・フローラ,,,フローラ用賀,1371210897,東京都世田谷区桜新町1-14-23萬豊ビル302,03-6413-5609,03-6413-5609,03-5450-5520,http://www.ld-flora.co.jp/com/,"平日,祝日",,,,,,,,,,,,
137,世田谷区,○,○,営利法人,1,1,独立系,8013401006037,株式会社リベア,,,エブリンクケア,1371215144,東京都世田谷区大原1-45-13井上ハイツ103,03-6379-2612,03-6379-2612,03-6700-7039,http://livea.co.jp,平日,,,,,,,,,,,,
138,世田谷区,○,○,営利法人,1,1,独立系,7190002002647,株式会社ロングツリー,,,ほほえみサポート,1371213529,東京都世田谷区砧8-4-17LONG　TREE砧,03‐6411‐0612,03-6411-0612,03‐6411‐0615,,"平日,土曜日",,,,,,,,,,,,
139,世田谷区,○,○,営利法人,1,1,独立系,8010901018578,株式会社亀右衛門,,,株式会社　亀右衛門,1371208230,東京都世田谷区三軒茶屋1-35-1三軒茶屋ゴールデンビル203,03-5431-3911,03-5431-3911,03-5431-3922,http://kameemon.co.jp,"平日,祝日",,,,,,,,,,,,
142,世田谷区,○,○,営利法人,1,1,独立系,7010901056810,株式会社千歳,,,介護センターさくら,1371217728,東京都世田谷区千歳台1－39－16205,03-3484-6188,03-3484-6188,03-3484-9277,,平日,,,,,,,,,,,,
147,世田谷区,○,,営利法人,1,2,施設併設,3011001039957,株式会社東急イーライフデザイン,,,ホームケア世田谷,1371208891,東京都世田谷区上用賀1-22-23グランクレール馬事公苑,03-5717-7303,03-5717-7303,03-5717-7304,https://homecare.grancreer.com/access/homecare_setagaya.html,"平日,土曜日,日曜日",,,,,,,,,,,,
148,世田谷区,○,○,営利法人,1,1,独立系,8010901018603,株式会社松原ケアーマネージメント,,,松原ケアマネジメント,1371206515,東京都世田谷区赤堤5-34-9,03-5355-5003,03-5355-5003,03-5355-5077,http://matsubaracare.jp,平日,,,,,,,,,,,,
149,世田谷区,○,○,営利法人,1,1,独立系,1010901006639,株式会社生・活・計・画,,,ほほえみの木々,1371201094,東京都世田谷区代沢4-28-12KSハイム　１階,03-5432-6188,03-5432-6188,03-5432-6196,http://www.hohoemi-net.jp,平日,,,,,,,,,,,,
151,世田谷区,○,○,営利法人,1,1,独立系,5010901030370,株式会社Ａｉｎｅ,,,アイネケアセンター,1371214444,東京都世田谷区松原2-21-2金子ハウス102,03-5355-8900,03-5355-8900,03-5355-8901,http://www.aine-care.jp,平日,,,,,,,,,,,,
152,世田谷区,○,○,営利法人,1,1,独立系,4012801023001,株式会社ＥＮ,,,えん,1371217215,東京都世田谷区宮坂3-7-12シティーコーポ経堂107,0357996397,0357996397,0357996394,,平日,,,,,,,,,,,,
153,世田谷区,○,○,営利法人,1,1,独立系,6020001156024,株式会社ＨＯＰＥ,,,ケアプラン　いのり,1371217512,東京都世田谷区南烏山6丁目13-13冨岡コーポ　C-109,03-6909-0658,03-6909-0658,03-6909-0659,,平日,,,,,,,,,,,,
154,世田谷区,○,○,営利法人,1,1,独立系,5010901016683,株式会社Ｎ・システム,,,アイ・ケアステーション岡本,1371207646,東京都世田谷区岡本1-33-14パークサイド砧220,03-5797-5211,03-5797-5211,03-5797-5212,http://www.n-system-web.co.jp/,平日,,,,,,,,,,,,
155,世田谷区,○,○,営利法人,1,1,独立系,6012301013277,株式会社ＴＹサービス,,,絆サービス,1371216944,東京都世田谷区船橋1-14-2グリーンハイツ2-E,0368244207,0368244207,0368244208,,平日,,,,,,,,,,,,
156,世田谷区,○,○,営利法人,1,1,独立系,3010901030785,株式会社ｍｏｒｅ,,,ケアプランカフェ・モア世田谷瀬田,1371217868,東京都世田谷区２－５－８ツノイハイム３０１号室,０３－５７９７－９４３４,03-5797-9434,０３－５７９７－９４３５,http://more-g.co.jp,平日,,,,,,,,,,,,
157,世田谷区,○,○,営利法人,1,1,独立系,6011801043602,株式会社ｓｉｒｏＱｕｍａ,,,シロクマ居宅介護支援事業所,1371217140,東京都世田谷区砧8-13-8ジベ成城203,03-6411-0390,03-6411-0390,03-6411-0391,https://shirokumaworks.com/,平日,,,,,,,,,,,,
159,世田谷区,○,○,営利法人,1,1,独立系,1010401048330,正和ライフサービス株式会社,,,正和クラブ深沢,1371203397,東京都世田谷区深沢４－９－３,03-5758-6512,03-5758-6512,03-5758-6239,http://www.seiwaclub.com,"平日,土曜日,祝日",,,,,,,,,,,,
195,世田谷区,○,○,営利法人,1,1,独立系,5011002020906,（有）メディカル・ワーク・システム,,,ほっとケア・タケダ,1371211192,東京都世田谷区大蔵2-4-14ベルメゾンＡｎ106,03-5727-8457,03-5727-8457,03-5727-8458,,平日,,,,,,,,,,,,
196,世田谷区,○,○,営利法人,1,1,独立系,3010901055444,Ｐｅａｋ　Ｃａｒｅ株式会社,,,ケアプランサービス陽だまり,1371217645,東京都世田谷区祖師谷4‐26‐3アトリエンテ祖師谷B1階,03-5349-1839,03-5349-1839,03-6388-1722,,平日,,,,,,,,,,,,
197,世田谷区,○,○,営利法人,1,1,独立系,2010701026976,Ｓ．Ａ．Ｇｒｏｕｐ株式会社,,,スターズプランニング,1371214543,東京都世田谷区太子堂4-4-2ラウスパレス三軒茶屋702,03-6453-2757,03-6453-2757,03-6453-2601,http://www.stars-station.jp,"平日,祝日",,,,,,,,,,,,
198,世田谷区,○,○,営利法人,1,1,独立系,6010901051572,ＳＧサービス株式会社,,,ブルーベリー・ケアプランセンター,1371217462,東京都世田谷区代田２－２１－１８－２０２,070-1573－6046,070-1573-6046,,,平日,,,,,,,,,,,,
201,世田谷区,○,○,営利法人,1,1,独立系,3011001159565,ｍｕｇｅｎ株式会社,,,むげんケアプラン世田谷,1371217165,東京都世田谷区瀬田4-9-1202,050-1809-3326,050-1809-3326,050-3537-1522,http://www.mugenkabushikikaisya.com/,平日,,,,,,,,,,,,
202,中央区,○,○,営利法人,1,1,独立系,7010001085537,シンシアリーサポート株式会社,,,大江戸ケアセンター,1370200907,東京都中央区築地2-7-1215山京ビル308号室,03-6226-3370,03-6226-3370,03-6226-3371,,平日,,,,,,,,,,,,
203,中央区,○,○,営利法人,1,1,独立系,4010001137076,ソーシャルパレット株式会社,,,八丁堀ケアプランセンター,1370201699,東京都中央区八丁堀４－１０－８第三SSビル　402,03-6280-3836,03-6280-3836,03-6280-3846,https://so-palette.com,平日,,,,,,,,,,,,
204,中央区,○,○,営利法人,1,1,独立系,6010001197424,中央パートナーズ株式会社,,,東京ひかりケアプランセンター,1370202408,東京都中央区晴海1-1-28ｷｬﾅﾙﾊｳｽ702,03-3520-8895,03-3520-8895,03-3520-8892,https://www.hikari.care,平日,,,,,,,,,,,,
206,中央区,○,○,営利法人,1,1,独立系,1010403016046,合同会社はまかぜ,,,ケアプランセンターはまかぜ,1370202473,東京都中央区銀座8-18-6301,03-4362-5228,03-4362-5228,03-6822-0223,,"平日,土曜日",,,,,,,,,,,,
207,中央区,○,○,営利法人,1,1,独立系,7010003018602,合同会社まごころプラン,,,まごころプラン,1370201970,東京都中央区新川２－１１－１八丁堀東豊エステート　５１１号室,０３－５５４２－０２０７,03-5542-0207,０３－５５４２－０２０８,,"平日,祝日",,,,,,,,,,,,
209,中央区,○,○,営利法人,1,1,独立系,5010002052777,有限会社チアーユー,,,ケアプラザ　ラシーネ,1370201814,東京都中央区日本橋蛎殻町2-14-2グレース中の橋402,03-6661-6451,03-6661-6451,03-6661-6452,http://www.cheer-you.com,平日,,,,,,,,,,,,
210,中央区,○,○,営利法人,1,1,薬局併設,3010002018607,有限会社川名薬局,,,川名薬局指定居宅介護支援事業所,1370200154,東京都中央区東日本橋3-7-3,03-3661-9146,03-3661-9146,03-3669-9727,,平日,,,,,,,,,,,,
211,中央区,○,○,営利法人,1,1,独立系,2010001134026,株式会社　プレアライズ,,,プレアライズ居宅介護支援事業所,1370202507,東京都中央区新川2-6-4新川エフ2ビル6階,03-5244-9289,03-5244-9289,03-5244-9268,,平日,,,,,,,,,,,,
213,中央区,○,○,営利法人,1,1,独立系,5010601043433,株式会社あいけあ,,,あいけあ,1370703611,東京都中央区日本橋大伝馬町１１－８フジスタービル１０階　１０３号,０３－３６６４－７５３３,03-3664-7533,０３－３６６４－７５１８,,"平日,土曜日",,,,,,,,,,,,
214,中央区,○,,営利法人,1,3,独立系,8030001073563,株式会社アズミコーポレーション,,,アズミメディケアセンター東京,1370200162,東京都中央区新富2-5-10新富ビル2Ｆ,03-3537-2283,03-3537-2283,03-3537-2284,,平日,,,,,,,,,,,,
215,中央区,○,○,営利法人,1,1,独立系,3011101053206,株式会社エアリー介護支援センター,,,ｴｱﾘｰｻﾎﾟｰﾄ,1370202010,東京都中央区築地２－１－２秀和築地レジデンス８０３,03-6278-8178,03-6278-8178,03-6278-8179,,"平日,土曜日,日曜日,祝日",,,,,,,,,,,,
216,中央区,○,○,営利法人,1,1,独立系,4010501024757,株式会社エターナルキャスト,,,ケアプランセンターエターナル,1370202689,東京都中央区築地5-4-18汐留イーストサイドビル7F,03-5565-1052,03-5565-1052,03-5565-1051,https://www.eternal-cast.com/,"平日,祝日",,,,,,,,,,,,
